7798,सुविनय,a,ap----a--a,,,,/su.ʋi.nə.jə/,सु-विनय,0
370653,,सामग्रीव्याप्ति,n,n-----f--i,,,,/sɑː.ˈməg.ɹiːʋ.jɑːp.t̪i/,सामग्री-व्याप्ति,0
370654,,सामग्रीव्याप्तिविचार,n,n-----m--a,,,,/sɑː.ˈməg.ɹiːʋ.jɑːp.t̪i.ʋi.t͡ɕɑː.ɹə/,सामग्री-व्याप्ति-विचार,0
370655,,सामग्रीवाद,n,n-----m--a,,,,/sɑː.ˈməg.ɹiː.ʋɑː.d̪ə/,सामग्री-वाद,0
370656,,सामग्रीवादार्थ,n,n-----m--a,,,,/sɑː.ˈməg.ɹiː.ʋɑː.d̪ɑːɹ.t̪ʰə/,सामग्री-वादार्थ,0
370657,,सामगा,n,n-----m--ā,,,,/sɑː.mə.gɑː/,साम-गा॔,0
370658,,सामगाह्निक,n,n-----n--a,,,,/sɑː.mə.gɑːɦ.ni.kə/,साम-गाह्निक,0
370659,,सामगान,n,n-----n--a,,,,/sɑː.mə.gɑː.nə/,साम-गान,0
370660,,सामगान,n,n-----m--a,,,,/sɑː.mə.gɑː.nə/,साम-गान,0
370661,,सामगानप्रिय,n,n-----m--a,,,,/sɑː.mə.gɑː.ˈnəp.ɹi.jə/,साम-गान-प्रिय,0
370662,,सामगानांछन्दस्,n,n-----n-sa,,,,/sɑː.mə.gɑː.nɑːɲ.t͡ɕʰən.d̪əs/,साम-गानां-छन्दस्,0
370663,112592,सामगाय,n,n-----m--a,,,,/sɑː.mə.gɑː.jə/,साम-गाय,0
370664,,सामगायक,n,n-----m--a,,,,/sɑː.mə.gɑː.jə.kə/,साम-गायक,0
370665,,सामगायिन्,a,ap----a--n,,,,/sɑː.mə.gɑː.jin/,साम-गायिन्,0
370666,112589,सामगी,n,n-----f--ī,,,,/sɑː.mə.giː/,साम-गी,0
370667,,सामगीत,n,n-----n--a,,,,/sɑː.mə.giː.t̪ə/,साम-गीत,0
370668,112597,सामज,n,n-----m--a,,,,/sɑː.mə.d͡ʑə/,साम-ज,0
370669,112596,सामज,a,ap----a--a,,,,/sɑː.mə.d͡ʑə/,साम-ज,0
370670,112598,सामजात,n,n-----m--a,,,,/sɑː.mə.d͡ʑɑː.t̪ə/,साम-जात,0
370671,112599,सामजातक,n,n-----n--a,,,,/sɑː.mə.d͡ʑɑː.t̪ə.kə/,साम-जातक,0
370672,112555,सामक,n,n-----m--a,,,,/sɑː.mə.kə/,सामक,0
370673,112554,सामक,n,n-----n--a,,,,/sɑː.mə.kə/,सामक,0
370674,,सामक,a,ap----a--a,,ap----f--ā=>िका,,/sɑː.mə.kə/,सामक,0
370675,112567,सामकलम्,r,rp--------,,,,/sɑː.mə.kə.ləm/,साम-कलम्,0
370676,112585,सामकारिका,n,n-----f--ā,,,,/sɑː.mə.kɑː.ɹi.kɑː/,साम-कारिका,0
370677,112586,सामकारिन्,a,ap----a--n,,,,/sɑː.mə.kɑː.ɹin/,साम-कारिन्,0
370678,112558,सामक्ष,n,n-----n--a,,,,/sɑː.ˈmək.ʂə/,सा॔मक्ष,0
370679,,सामक्ष्य,n,n-----n--a,,,,/sɑː.ˈmək.ʂjə/,सामक्ष्य,0
370680,112621,सामलक्षण,n,n-----n--a,,,,/sɑː.mə.ˈlək.ʂə.ɳə/,साम-लक्षण,0
370681,,साममय,a,ap----a--a,,ap----f--ī=>ी,,/sɑː.mə.mə.jə/,साम-म॔य,0
370682,112582,सामन्,n,n-----n--n,,,,/sɑː.mən/,सा॔मन्,0
370684,,सामन्,n,n-----m--n,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'n'}=सामन्",/sɑː.mən/,सा॔मन्,0
370685,112580,सामन,a,ap----a--a,,ap----f--ā=>ा,,/sɑː.mə.nə/,सामन,0
370686,112580,सामन,a,ap----a--a,,,,/sɑː.mə.nə/,सामन॔,0
370687,,सामनसी,n,n-----f--ī,,,,/sɑː.mə.nə.siː/,सामनसी,0
370688,112606,सामनिधन,n,n-----n--a,,,,/sɑː.mə.ni.d̪ʰə.nə/,साम-निधन॔,0
370692,112660,सामन्त,a,ap----a--a,,,,/sɑː.mən.t̪ə/,सामन्त,0
370693,112662,सामन्त,n,n-----n--a,,,,/sɑː.mən.t̪ə/,सामन्त,0
370695,112661,सामन्त,n,n-----m--a,,,,/sɑː.mən.t̪ə/,सामन्त,0
370696,,सामन्तचक्र,n,n-----n--a,,,,/sɑː.mən.t̪ə.ˈt͡ɕək.ɹə/,सामन्त-चक्र,0
370697,112664,सामन्तज,n,n-----n--a,,,,/sɑː.mən.t̪ə.d͡ʑə/,सामन्त-ज,0
370698,112669,सामन्तकेन,r,rp--------,,,,/sɑː.mən.t̪ə.keː.nə/,सामन्तकेन,0
370699,112666,सामन्तप्रत्यय,n,n-----m--a,,,,/sɑː.mən.ˈt̪əp.ˈɹət̪.jə.jə/,सामन्त-प्रत्यय,0
370700,112665,सामन्तपाल,n,n-----m--a,,,,/sɑː.mən.t̪ə.pɑː.lə/,सामन्त-पाल,0
370701,112667,सामन्तराज,n,n-----m--a,,,,/sɑː.mən.t̪ə.ɹɑː.d͡ʑə/,सामन्त-राज,0
370702,112668,सामन्तवासिन्,a,ap----a--n,,,,/sɑː.mən.t̪ə.ʋɑː.sin/,सामन्त-वासिन्,0
370703,112670,सामन्तेय,n,n-----m--a,,,,/sɑː.mən.t̪eː.jə/,सामन्तेय,0
370704,112583,सामन्वत्,a,ap----a--c,,,,/sɑː.mən.ʋət̪/,सा॔मन्-वत्,0
370705,112584,सामन्विन्,a,ap----a--n,,,,/sɑː.mən.ʋin/,सा॔मन्-विन्,0
370706,112653,सामन्य,a,ap----a--a,,,,/sɑː.mən.jə/,सामन्य॔,0
370707,112653,सामन्य,a,ap----a--a,,,,/sɑː.mən.jə/,सामन्य,0
370708,112659,सामनी,n,n-----f--ī,,,,/sɑː.mə.niː/,सामनी,0
370709,112608,सामपरिशिष्ट,n,n-----n--a,,,,/sɑː.mə.pə.ɹi.ˈɕiʂ.ʈə/,साम-परिशिष्ट,0
370710,112607,सामपथ,n,n-----m--a,,,,/sɑː.mə.pə.t̪ʰə/,साम-पथ,0
370711,,सामपवित्र,n,n-----n--a,,,,/sɑː.mə.pə.ˈʋit̪.ɹə/,साम-पवित्र,0
370712,,सामप्रधान,a,ap----a--a,,,,/sɑː.ˈməp.ɹə.d̪ʰɑː.nə/,साम-प्रधान,0
370713,112611,सामप्रगाथ,n,n-----m--a,,,,/sɑː.ˈməp.ɹə.gɑː.t̪ʰə/,साम-प्रगाथ,0
370714,112610,सामप्रकाशन,n,n-----n--a,,,,/sɑː.ˈməp.ɹə.kɑː.ɕə.nə/,साम-प्रकाशन,0
370715,,सामप्रस्तोतृत्व,n,n-----n--a,,,,/sɑː.ˈməp.ˈɹəs.t̪oː.ˈt̪ɹ̩t̪.ʋə/,साम-प्रस्तोतृ-त्व,0
370716,112572,सामप्रयोग,n,n-----m--a,,,,/sɑː.ˈməp.ɹə.joː.gə/,साम-प्रयोग,0
370718,112547,सामपुष्पि,n,n-----m--i,,,,/sɑː.mə.ˈpuʂ.pi/,साम-पुष्पि,0
370719,,सामपूर्व,a,ap----a--a,,,,/sɑː.mə.puːɹ.ʋə/,साम-पूर्व,0
370720,,सामपूर्वम्,r,rp--------,,,,/sɑː.mə.puːɹ.ʋəm/,साम-पूर्वम्,0
370721,,सामर,a,ap----a--a,,,,/sɑː.mə.ɹə/,सामर,0
370722,112616,सामरथंतर,n,n-----n--a,,,,/sɑː.mə.ɹə.t̪ʰən.t̪ə.ɹə/,साम-रथंतर,0
370723,,सामरेय,a,ap----a--a,,,,/sɑː.mə.ɹeː.jə/,सामरेय,0
370724,112681,सामर्घ्य,n,n-----n--a,,,,/sɑː.ˈməɹ.gʰjə/,सामर्घ्य,0
370725,112679,सामरिक,a,ap----a--a,,,,/sɑː.mə.ɹi.kə/,सामरिक,0
370726,112682,सामर्थ्य,n,n-----n--a,,,,/sɑː.ˈməɹ.t̪ʰjə/,सामर्थ्य,0
370727,112683,सामर्थ्यबन्धन,a,ap----a--a,,,,/sɑː.ˈməɹ.t̪ʰjə.bən.d̪ʰə.nə/,सामर्थ्य-बन्धन,0
370728,,सामर्थ्यहीन,a,ap----a--a,,,,/sɑː.ˈməɹ.t̪ʰjə.ɦiː.nə/,सामर्थ्य-हीन,0
370729,112684,सामर्थ्यवत्,a,ap----a--c,,,,/sɑː.ˈməɹ.t̪ʰjə.ʋət̪/,सामर्थ्य-वत्,0
370730,112678,सामराधिप,a,ap----a--a,,,,/sɑː.mə.ɹɑː.d̪ʰi.pə/,सामराधिप,0
370731,112617,सामराग,n,n-----m--a,,,,/sɑː.mə.ɹɑː.gə/,साम-राग,0
370732,112618,सामराज,n,n-----m--a,,,,/sɑː.mə.ɹɑː.d͡ʑə/,साम-राज,0
370733,112619,सामराज,n,n-----n--a,,,,/sɑː.mə.ɹɑː.d͡ʑə/,साम-राज,0
370734,,सामराजन्,n,n-----n--n,,,,/sɑː.mə.ɹɑː.d͡ʑən/,साम-राजन्,0
370735,112686,सामर्ष,a,ap----a--a,,,,/sɑː.ˈməɹ.ʂə/,सामर्ष,0
370736,112688,सामर्षहासम्,r,rp--------,,,,/sɑː.ˈməɹ.ʂə.ɦɑː.səm/,सामर्ष-हासम्,0
370737,,सामर्षम्,r,rp--------,,,,/sɑː.ˈməɹ.ʂəm/,सामर्षम्,0
370738,112687,सामर्षता,n,n-----f--ā,,,,/sɑː.ˈməɹ.ʂə.t̪ɑː/,सामर्ष-ता,0
370739,112689,सामर्षण,n,n-----m--a,,,,/sɑː.ˈməɹ.ʂə.ɳə/,सामर्षण,0
370740,112640,सामसरस्,n,n-----n-sa,,,,/sɑː.mə.sə.ɹəs/,साम-सरस्,0
370741,112641,सामसरस,n,n-----n--a,,,,/sɑː.mə.sə.ɹə.sə/,साम-सरस,0
370742,112639,सामसंगायक,n,n-----m--a,,,,/sɑː.mə.səŋ.gɑː.jə.kə/,साम-संगायक,0
370743,112636,सामसंहिता,n,n-----f--ā,,,,/sɑː.mə.ˈsə̃.ɦi.t̪ɑː/,साम-संहिता,0
370744,112638,सामसंख्या,n,n-----f--ā,,,,/sɑː.mə.səŋ.kʰjɑː/,साम-संख्या,0
370745,112637,सामसंक्षेप,n,n-----m--a,,,,/sɑː.mə.səŋk.ʂeː.pə/,साम-संक्षेप,0
370746,112575,सामसिद्ध,a,ap----a--a,,,,/sɑː.mə.ˈsid̪.d̪ʰə/,साम-सिद्ध,0
370747,112576,सामसिद्धि,n,n-----f--i,,,,/sɑː.mə.ˈsid̪.d̪ʰi/,साम-सिद्धि,0
370748,112692,सामस्त,n,n-----n--a,,,,/sɑː.ˈməs.t̪ə/,सामस्त,0
370749,112550,सामस्तम्बि,n,n-----m--i,,,,/sɑː.ˈməs.t̪əm.bi/,साम-स्तम्बि,0
370750,112551,सामस्थ्य,n,n-----n--a,,,,/sɑː.ˈməs.t̪ʰjə/,साम-स्थ्य,0
370751,112693,सामस्तिक,a,ap----a--a,,,,/sɑː.ˈməs.t̪i.kə/,सामस्तिक,0
370752,112694,सामस्त्य,n,n-----n--a,,,,/sɑː.ˈməs.t̪jə/,सामस्त्य,0
370753,,सामसुरस,n,n-----n--a,,,,/sɑː.mə.su.ɹə.sə/,साम-सुरस,0
370754,,सामसाध्य,a,ap----a--a,,,,/sɑː.mə.sɑːd̪ʰ.jə/,साम-साध्य,0
370755,112642,सामसावित्री,n,n-----f--ī,,,,/sɑː.mə.sɑː.ˈʋit̪.ɹiː/,साम-सावित्री,0
370756,112644,सामसूक्त,n,n-----n--a,,,,/sɑː.mə.suːk.t̪ə/,साम-सूक्त,0
370757,112645,सामसूत्र,n,n-----n--a,,,,/sɑː.mə.suːt̪.ɹə/,साम-सूत्र,0
370758,,सामसूत्रव्याख्या,n,n-----f--ā,,,,/sɑː.mə.suːt̪.ˈɹəʋ.jɑːkʰ.jɑː/,साम-सूत्र-व्याख्या,0
370759,112600,सामतन्त्र,n,n-----n--a,,,,/sɑː.mə.t̪ən.t̪ɹə/,साम-तन्त्र,0
370760,112601,सामतस्,r,rp--------,,,,/sɑː.mə.t̪əs/,साम-त॔स्,0
370761,,सामतेजस्,a,ap----a-sa,,,,/sɑː.mə.t̪eː.d͡ʑəs/,साम-तेजस्,0
370762,,सामत्व,n,n-----n--a,,,,/sɑː.ˈmət̪.ʋə/,साम-त्व॔,0
370763,112628,सामवैदिक,a,ap----a--a,,,,/sɑː.mə.ʋɑːi.d̪i.kə/,साम-वैदिक,0
370764,112629,सामवैर्य,n,n-----n--a,,,,/sɑː.mə.ʋɑːi.ɹjə/,साम-वैर्य,0
370765,112622,सामवत्,a,ap----a--c,,,,/sɑː.mə.ʋət̪/,साम-वत्,0
370766,,सामवत्,n,n-----m--c,,,,/sɑː.mə.ʋət̪/,साम-वत्,0
370767,112549,सामवश,a,ap----a--a,,,,/sɑː.mə.ʋə.ɕə/,साम-वश,0
370768,112627,सामवेद,n,n-----m--a,,,,/sɑː.mə.ʋeː.d̪ə/,साम-वेद॔,0
370769,,सामवेदच्छल,n,n-----n--a,,,,/sɑː.mə.ʋeː.ˈd̪ət͡ɕ.t͡ɕʰə.lə/,साम-वेद-च्छल,0
370770,,सामवेदपरिशिष्ट,n,n-----n--a,,,,/sɑː.mə.ʋeː.d̪ə.pə.ɹi.ˈɕiʂ.ʈə/,सामवेद-परिशिष्ट,0
370771,,सामवेदरहस्य,n,n-----n--a,,,,/sɑː.mə.ʋeː.d̪ə.ɹə.ˈɦəs.jə/,साम-वेद-रहस्य,0
370772,,सामवेदरहस्योपनिषद्,n,n-----f--c,,,,/sɑː.mə.ʋeː.d̪ə.ɹə.ˈɦəs.joː.pə.ni.ʂəd̪/,साम-वेद-रहस्योपनिषद्,0
370773,,सामवेदराज्,n,n-----m--c,,,,/sɑː.mə.ʋeː.d̪ə.ɹɑːd͡ʑ/,साम-वेद॔-राज्,0
370774,,सामवेदसार,n,n-----m--a,,,,/sɑː.mə.ʋeː.d̪ə.sɑː.ɹə/,साम-वेद॔-सार,0
370775,,सामवेदविद्,a,ap----a--c,,,,/sɑː.mə.ʋeː.d̪ə.ʋid̪/,साम-वेद॔-विद्,0
370776,,सामवेदशिक्षा,n,n-----f--ā,,,,/sɑː.mə.ʋeː.d̪ə.ˈɕik.ʂɑː/,साम-वेद॔-शिक्षा,0
370777,,सामवेदोपनिषद्,n,n-----f--c,,,,/sɑː.mə.ʋeː.d̪oː.pə.ni.ʂəd̪/,साम-वेदोपनिषद्,0
370778,,सामवेदान्तग,a,ap----a--a,,,,/sɑː.mə.ʋeː.d̪ɑːn.t̪ə.gə/,साम-वेदान्तग,0
370779,,सामवेदार्थ,n,n-----m--a,,,,/sɑː.mə.ʋeː.d̪ɑːɹ.t̪ʰə/,साम-वेदार्थ,0
370780,,सामवेदार्थप्रकाश,n,n-----m--a,,,,/sɑː.mə.ʋeː.d̪ɑːɹ.ˈt̪ʰəp.ɹə.kɑː.ɕə/,साम-वेदार्थ-प्रकाश,0
370781,,सामवेदीयरौद्रविधि,n,n-----m--i,,,,/sɑː.mə.ʋeː.d̪iː.jə.ˈɹəौ.d̪ɹə.ʋi.d̪ʰi/,साम-वेदीय-रौद्र-विधि,0
370782,,सामवेदीयरुद्री,n,n-----f--ī,,,,/sɑː.mə.ʋeː.d̪iː.jə.ˈɹud̪.ɹiː/,साम-वेदीय-रुद्री,0
370783,112624,सामविद्,a,ap----a--c,,,,/sɑː.mə.ʋid̪/,साम-विद्,0
370784,112625,सामविधान,n,n-----n--a,,,,/sɑː.mə.ʋi.d̪ʰɑː.nə/,साम-विधान,0
370785,,सामविधानब्राह्मण,n,n-----n--a,,,,/sɑː.mə.ʋi.d̪ʰɑː.ˈnəb.ɹɑːɦ.mə.ɳə/,साम-विधान-ब्राह्मण,0
370786,112626,सामविप्र,a,ap----a--a,,,,/sɑː.mə.ˈʋip.ɹə/,साम-विप्र,0
370787,112573,सामवाद,n,n-----m--a,,,,/sɑː.mə.ʋɑː.d̪ə/,साम-वाद,0
370790,112690,सामवायिक,a,ap----a--a,,,,/sɑː.mə.ʋɑː.ji.kə/,सामवायिक,0
370791,112691,सामवायिक,n,n-----m--a,,,,/sɑː.mə.ʋɑː.ji.kə/,सामवायिक,0
370792,112671,सामय,a,ap----a--a,,,,/sɑː.mə.jə/,सामय,0
370793,,सामय,v,v----a--0-,,,,/sɑː.mə.jə/,सामय,0
370794,112674,सामयिक,a,ap----a--a,,,,/sɑː.mə.ji.kə/,सामयिक,0
370795,,सामयिकत्व,n,n-----n--a,,,,/sɑː.mə.ji.ˈkət̪.ʋə/,सामयिक-त्व,0
370796,112676,सामयिकाभाव,n,n-----m--a,,,,/sɑː.mə.ji.kɑː.bʱɑː.ʋə/,सामयिकाभाव,0
370797,,सामयोनि,n,n-----m--i,,,,/sɑː.mə.joː.ni/,साम-योनि,0
370798,,सामयोनि,a,ap----a--i,,,,/sɑː.mə.joː.ni/,साम-योनि,0
370800,,सामयुगीन,a,ap----a--a,,,,/sɑː.mə.ju.giː.nə/,साम-युगीन,0
370801,112672,सामयाचारिक,a,ap----a--a,,,,/sɑː.mə.jɑː.t͡ɕɑː.ɹi.kə/,सामयाचारिक,0
370802,112673,सामयाचारिकसूत्र,n,n-----n--a,,,,/sɑː.mə.jɑː.t͡ɕɑː.ɹi.kə.suːt̪.ɹə/,सामयाचारिक-सूत्र,0
370803,112563,सामञ्जस्य,n,n-----n--a,,,,/sɑː.məɲ.ˈd͡ʑəs.jə/,सामञ्जस्य,0
370804,,सामशब्द,n,n-----m--a,,,,/sɑː.mə.ˈɕəb.d̪ə/,साम-शब्द,0
370805,,सामशिरस्,a,ap----a-sa,,,,/sɑː.mə.ɕi.ɹəs/,साम-शिरस्,0
370806,112635,सामश्रौतसूत्र,n,n-----n--a,,,,/sɑːməɕɹəौt̪əsuːt̪ɹə/,साम-श्रौत-सूत्र,0
370807,112632,सामश्रवस्,n,n-----m-sa,,,,/sɑːməɕɹəʋəs/,साम-श्रव॔स्,0
370808,112633,सामश्रवस,n,n-----m--a,,,,/sɑːməɕɹəʋəsə/,साम-श्रवस,0
370809,112634,सामश्राद्ध,n,n-----n--a,,,,/sɑːməɕɹɑːd̪d̪ʰə/,साम-श्राद्ध,0
370810,,साम्ब्,v,v----a----,,,,/sɑːmb/,साम्ब्,0
370811,,साम्ब,a,ap----a--a,,,,/sɑːm.bə/,साम्ब,0
370812,112821,साम्ब,n,n-----m--a,,,,/sɑːm.bə/,साम्ब,0
370813,112822,साम्ब,n,n-----n--a,,,,/sɑːm.bə/,साम्ब,0
370814,112823,साम्बचरित,n,n-----n--a,,,,/sɑːm.bə.t͡ɕə.ɹi.t̪ə/,साम्ब-चरित,0
370815,,साम्बमुक्तावलीस्तोत्र,n,n-----n--a,,,,/sɑːm.bə.ˈmuk.t̪ɑː.ʋə.liːs.t̪oːt̪.ɹə/,साम्ब-मुक्तावली-स्तोत्र,0
370816,112829,साम्बमूर्ति,a,ap----a--i,,,,/sɑːm.bə.muːɹ.t̪i/,साम्ब-मूर्ति,0
370817,112838,साम्बन्धिक,n,n-----n--a,,,,/sɑːm.bən.d̪ʰi.kə/,साम्बन्धिक,0
370818,112824,साम्बपञ्चाशिका,n,n-----f--ā,,,,/sɑːm.bə.pəɲ.t͡ɕɑː.ɕi.kɑː/,साम्ब-पञ्चाशिका,0
370819,112828,साम्बप्रद्युम्नप्रबन्ध,n,n-----m--a,,,,/sɑːm.ˈbəp.ˈɹəd̪.jum.ˈnəp.ɹə.bən.d̪ʰə/,साम्ब-प्रद्युम्न-प्रबन्ध,0
370820,112825,साम्बपुर,n,n-----n--a,,,,/sɑːm.bə.pu.ɹə/,साम्ब-पुर,0
370821,,साम्बपुराण,n,n-----n--a,,,,/sɑːm.bə.pu.ɹɑː.ɳə/,साम्ब-पुराण,0
370822,112826,साम्बपुरी,n,n-----f--ī,,,,/sɑːm.bə.pu.ɹiː/,साम्ब-पुरी,0
370823,112839,साम्बर्य,n,n-----m--a,,,,/sɑːm.ˈbəɹ.jə/,साम्बर्य,0
370824,112830,साम्बवती,n,n-----f--ī,,,,/sɑːm.bə.ʋə.t̪iː/,साम्ब-वती,0
370825,112831,साम्बविजय,n,n-----m--a,,,,/sɑːm.bə.ʋi.d͡ʑə.jə/,साम्ब-विजय,0
370826,112837,साम्बशिव,n,n-----m--a,,,,/sɑːm.bə.ɕi.ʋə/,साम्ब-शिव,0
370827,,साम्बेश्वर,n,n-----m--a,,,,/sɑːmbeːɕʋəɹə/,साम्बेश्वर,0
370828,112843,साम्भल,a,ap----a--a,,,,/sɑːm.bʱə.lə/,साम्भल,0
370829,112842,साम्भर,n,n-----n--a,,,,/sɑːm.bʱə.ɹə/,साम्भर,0
370830,,साम्भस्,a,ap----a-sa,,,,/sɑːm.bʱəs/,साम्भस्,0
370831,112844,साम्भवी,n,n-----f--ī,,,,/sɑːm.bʱə.ʋiː/,साम्भवी,0
370832,112846,साम्भाष्य,n,n-----n--a,,,,/sɑːm.bʱɑːʂ.jə/,साम्भाष्य,0
370833,112847,साम्भूयि,n,n-----m--i,,,,/sɑːm.bʱuː.ji/,साम्भूयि,0
370834,112835,साम्बि,n,n-----m--i,,,,/sɑːm.bi/,साम्बि,0
370835,112834,साम्बोपपुराण,n,n-----n--a,,,,/sɑːm.boː.pə.pu.ɹɑː.ɳə/,साम्बोपपुराण,0
370836,112841,साम्बुवासर,a,ap----a--a,,,,/sɑːm.bu.ʋɑː.sə.ɹə/,साम्बु-वासर,0
370837,112840,साम्बाधिक,n,n-----m--a,,,,/sɑːm.bɑː.d̪ʰi.kə/,साम्बाधिक,0
370838,112832,साम्बादित्य,n,n-----m--a,,,,/sɑːm.bɑː.ˈd̪it̪.jə/,साम्बादित्य,0
370839,112650,सामेश्वरमाहात्म्य,n,n-----n--a,,,,/sɑːmeːɕʋəɹəmɑːɦɑːt̪mjə/,सामेश्वर-माहात्म्य,0
370840,112739,सामि,r,rp--------,,,,/sɑː.mi/,सामि॔,0
370841,112742,सामिभुक्त,a,ap----a--a,,,,/sɑː.mi.ˈbʱuk.t̪ə/,सामि॔-भुक्त,0
370842,112740,सामिचित,a,ap----a--a,,,,/sɑː.mi.t͡ɕi.t̪ə/,सामि॔-चित,0
370843,112747,सामिधेन,a,ap----a--a,,,,/sɑː.mi.d̪ʰeː.nə/,सामिधेन॔,0
370844,,सामिधेनि,n,n-----f--i,,,,/sɑː.mi.d̪ʰeː.ni/,सामिधेनि,0
370845,,सामिधेन्य,a,ap----a--a,,,,/sɑː.mi.d̪ʰeːn.jə/,सामिधेन्य,0
370847,112748,सामिधेनी,n,n-----f--ī,,,,/sɑː.mi.d̪ʰeː.niː/,सामिधेनी,0
370848,,सामिक,a,ap----a--a,,,,/sɑː.mi.kə/,सामिक,0
370849,112655,सामिक,n,n-----n--a,,,,/sɑː.mi.kə/,सामिक,0
370850,112744,सामिक,n,n-----m--a,,,,/sɑː.mi.kə/,सामिक,0
370851,,सामिकृत,a,ap----a--a,,,,/sɑː.mi.kɹ̩.t̪ə/,सामि॔-कृत,0
370852,112751,सामिन्,n,n-----m--n,,,,/sɑː.min/,सामिन्,0
370853,112741,सामिपीत,a,ap----a--a,,,,/sɑː.mi.piː.t̪ə/,सामि॔-पीत,0
370854,112743,सामिसंस्थित,a,ap----a--a,,,,/sɑː.mi.ˈsə̃s.t̪ʰi.t̪ə/,सामि॔-संस्थित,0
370855,112745,सामित,a,ap----a--a,,,,/sɑː.mi.t̪ə/,सामित,0
370856,112746,सामित्य,a,ap----a--a,,,,/sɑː.ˈmit̪.jə/,सामित्य॔,0
370857,,सामिष,a,ap----a--a,,ap----f--ā=>ा,,/sɑː.mi.ʂə/,सामिष,0
370858,112849,साम्मद,n,n-----m--a,,,,/sɑːm.mə.d̪ə/,साम्मद॔,0
370859,112850,साम्मनस्य,n,n-----n--a,,,,/sɑːm.mə.ˈnəs.jə/,साम्मनस्य॔,0
370861,112848,साम्मत्य,n,n-----n--a,,,,/sɑːm.ˈmət̪.jə/,साम्मत्य,0
370862,112856,साम्मेघ्य,n,n-----n--a,,,,/sɑːm.meːgʰ.jə/,साम्मेघ्य,0
370863,112853,साम्मितिकायनि,n,n-----m--i,,,,/sɑːm.mi.t̪i.kɑː.jə.ni/,साम्मितिकायनि,0
370864,112857,साम्मोदनिक,a,ap----a--a,,,,/sɑːm.moː.d̪ə.ni.kə/,साम्मोदनिक,0
370865,112855,साम्मुख्य,n,n-----n--a,,,,/sɑːm.ˈmukʰ.jə/,साम्मुख्य,0
370866,112854,साम्मुखी,n,n-----f--ī,,,,/sɑːm.mu.kʰiː/,साम्मुखी,0
370867,,साम्मार्जिन,n,n-----n--a,,,,/sɑːm.mɑːɹ.d͡ʑi.nə/,साम्मार्जिन,0
370868,,साम्मात्र,n,n-----m--a,,,,/sɑːm.mɑːt̪.ɹə/,साम्मात्र,0
370869,112851,साम्मातुर,n,n-----m--a,,,,/sɑːm.mɑː.t̪u.ɹə/,साम्मातुर,0
370870,112656,साम्न,a,ap----a--a,,ap----f--ī=>ी,,/sɑːm.nə/,साम्न,0
370872,112657,साम्नी,n,n-----f--ī,,,,/sɑːm.niː/,साम्नी,0
370873,112798,सामोद,a,ap----a--a,,,,/sɑː.moː.d̪ə/,सामोद,0
370874,112652,सामोद्भव,n,n-----m--a,,,,/sɑː.moːd̪.bʱə.ʋə/,सामोद्भव,0
370875,112577,सामोन्मुख,a,ap----a--a,,,,/sɑː.moːn.mu.kʰə/,सामोन्मुख,0
370876,112578,सामोपचार,n,n-----m--a,,,,/sɑː.moː.pə.t͡ɕɑː.ɹə/,सामोपचार,0
370877,112579,सामोपाय,n,n-----m--a,,,,/sɑː.moː.pɑː.jə/,सामोपाय,0
370878,112651,सामोढ,a,ap----a--a,,,,/sɑː.moː.ɖʰə/,सामोढ,0
370879,112799,साम्पद,a,ap----a--a,,,,/sɑːm.pə.d̪ə/,साम्पद,0
370880,112800,साम्पन्निक,a,ap----a--a,,,,/sɑːm.pən.ni.kə/,साम्पन्निक,0
370882,112803,साम्पराय,n,n-----m--a,,,,/sɑːm.pə.ɹɑː.jə/,साम्पराय,0
370883,112802,साम्पराय,a,ap----a--a,,,,/sɑːm.pə.ɹɑː.jə/,साम्पराय,0
370890,112804,साम्परायण,n,n-----m--a,,,,/sɑːm.pə.ɹɑː.jə.ɳə/,साम्परायण,0
370891,,साम्परायणक,n,n-----m--a,,,,/sɑːm.pə.ɹɑː.jə.ɳə.kə/,साम्परायणक,0
370892,112807,साम्परायिक,n,n-----n--a,,,,/sɑːm.pə.ɹɑː.ji.kə/,साम्परायिक,0
370894,,साम्परायिक,n,n-----m--a,,,,/sɑːm.pə.ɹɑː.ji.kə/,साम्परायिक,0
370895,,साम्परायिककल्प,n,n-----m--a,,,,/sɑːm.pə.ɹɑː.ji.kə.ˈkəl.pə/,साम्परायिक-कल्प,0
370896,,साम्प्रदानिक,a,ap----a--a,,,,/sɑːm.pɹə.d̪ɑː.ni.kə/,साम्प्रदानिक,0
370897,112816,साम्प्रदायिक,a,ap----a--a,,,,/sɑːm.pɹə.d̪ɑː.ji.kə/,साम्प्रदायिक,0
370898,112811,साम्प्रत,a,ap----a--a,,,,/sɑːm.pɹə.t̪ə/,साम्प्रत,0
370899,,साम्प्रतकाल,n,n-----m--a,,,,/sɑːm.pɹə.t̪ə.kɑː.lə/,साम्प्रत-काल,0
370900,,साम्प्रतम्,r,rp--------,,,,/sɑːm.pɹə.t̪əm/,साम्प्रतम्,0
